CNN Model,Input Type,Target Type,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score,Class 0 Jaccard Index,Class 1 Jaccard Index,Class 2 Jaccard Index,Class 3 Jaccard Index,Class 4 Jaccard Index,Class 5 Jaccard Index,Class 6 Jaccard Index
unet,full,multiclass,44,10am,0.935144066810608,0.7953400015830994,0.8383633494377136,0.7341218590736389,0.7494410276412964,0.6244127750396729,0.8610202670097351,0.8781883716583252,0.6602194905281067,0.7217087745666504,0.5799309015274048,0.5992848873138428,0.4539245367050171,0.7559574842453003
unet,full,multiclass,44,11am,0.9373083710670472,0.7993004322052002,0.8505287766456604,0.7506184577941895,0.777432918548584,0.6112865805625916,0.8560861945152283,0.8820135593414307,0.6656955480575562,0.7399304509162903,0.6007920503616333,0.6359020471572876,0.4401819705963135,0.7483834624290466
unet,full,multiclass,44,12pm,0.9292054176330566,0.7850732207298279,0.8483254909515381,0.7610019445419312,0.7830448150634766,0.6170567870140076,0.8591158986091614,0.8677719235420227,0.6461897492408752,0.7366017699241638,0.6142075657844543,0.6434459090232849,0.4461909830570221,0.7530264258384705
unet,full,multiclass,44,1pm,0.9337148070335388,0.796856164932251,0.8534162044525146,0.7750086784362793,0.8001347184181213,0.66059410572052,0.8731870055198669,0.875670850276947,0.6623116731643677,0.7443121075630188,0.6326646208763123,0.6668537855148315,0.493199348449707,0.7749174237251282
unet,full,multiclass,44,2pm,0.9346961975097656,0.7935153841972351,0.8516607880592346,0.7794139385223389,0.7974244952201843,0.6527149081230164,0.8632984757423401,0.8773987293243408,0.6577086448669434,0.7416456341743469,0.6385571360588074,0.6630972623825073,0.4844668209552765,0.7594768404960632
unet,full,multiclass,44,3pm,0.9295336604118348,0.784277617931366,0.8666595816612244,0.7998625040054321,0.8095375299453735,0.6463808417320251,0.8608497381210327,0.8683446049690247,0.6451123952865601,0.7646948099136353,0.6664757132530212,0.6800193190574646,0.4775204658508301,0.7556946873664856
unet,full,multiclass,44,4pm,0.9031010270118712,0.7555291652679443,0.8519562482833862,0.7827253937721252,0.7921718955039978,0.5959380865097046,0.8897280693054199,0.8233219385147095,0.6071087718009949,0.7420938611030579,0.6430146098136902,0.6558647751808167,0.4244385957717895,0.8013604879379272
unet,full,multiclass,44,5pm,0.9318073391914368,0.7925012707710266,0.8636558055877686,0.7815448641777039,0.7839666604995728,0.6075417995452881,0.8610844016075134,0.8723214268684387,0.6563163995742798,0.7600301504135132,0.6414228081703186,0.6446917653083801,0.4363088309764862,0.7560563683509827
unet,full,multiclass,44,6pm,0.9337840676307678,0.7983517050743103,0.8717290759086609,0.773819088935852,0.7782841920852661,0.6161994934082031,0.8679106831550598,0.8757926225662231,0.6643804907798767,0.7726238965988159,0.631080687046051,0.6370419859886169,0.4452950060367584,0.7666450142860413
unet,full,multiclass,44,7pm,0.9314072728157043,0.7827796936035156,0.820422887802124,0.7326417565345764,0.7227033972740173,0.5850406885147095,0.825226902961731,0.8716204166412354,0.6430879235267639,0.6955229043960571,0.5780857801437378,0.565807044506073,0.4134682118892669,0.7024564146995544
unet,full,multiclass,44,8pm,0.9186177849769592,0.7695081233978271,0.8345521688461304,0.7450014352798462,0.7745615839958191,0.6125906705856323,0.8668606281280518,0.8494848012924194,0.6253662705421448,0.716078519821167,0.5936272740364075,0.632068932056427,0.4415356814861297,0.7650079131126404
unet,full,multiclass,45,8am,0.9343809485435486,0.8105170130729675,0.8605347871780396,0.7710627913475037,0.7677538990974426,0.6408998966217041,0.8977785110473633,0.8768433928489685,0.6814027428627014,0.7552093267440796,0.6274224519729614,0.6230524182319641,0.4715619385242462,0.8145173192024231
unet,full,multiclass,45,9am,0.9467171430587769,0.8216381072998047,0.8431930541992188,0.743371844291687,0.7677155137062073,0.6164308786392212,0.8594177961349487,0.8988251686096191,0.697271466255188,0.728896975517273,0.5915607213973999,0.6230018734931946,0.445536732673645,0.7534903883934021
unet,full,multiclass,45,10am,0.9378905892372132,0.8100478053092957,0.8632503151893616,0.7780635952949524,0.7904787659645081,0.6435283422470093,0.8778682351112366,0.8830451965332031,0.6807397603988647,0.759402334690094,0.6367464065551758,0.6535468697547913,0.4744133949279785,0.7823218703269958
unet,full,multiclass,45,11am,0.9412508606910706,0.8104763031005859,0.8547386527061462,0.766802191734314,0.7960291504859924,0.6749006509780884,0.8711386919021606,0.8890215754508972,0.6813452243804932,0.7463262677192688,0.6217998266220093,0.6611697673797607,0.5093207955360413,0.7716968059539795
unet,full,multiclass,45,12pm,0.9351909160614014,0.8098540306091309,0.8650391101837158,0.7760661244392395,0.7900066375732422,0.6414175629615784,0.8872844576835632,0.8782710433006287,0.6804661750793457,0.7621752023696899,0.6340751647949219,0.6529015898704529,0.4721226990222931,0.7974045872688293
unet,full,multiclass,45,1pm,0.9325404167175292,0.8039703369140625,0.8661808371543884,0.7748362421989441,0.7887706756591797,0.6682343482971191,0.8920344114303589,0.8736072778701782,0.6721993684768677,0.7639497518539429,0.6324348449707031,0.6512150168418884,0.5017657279968262,0.8051102161407471
unet,full,multiclass,45,2pm,0.9400812387466432,0.8076187968254089,0.8628231883049011,0.7794317603111267,0.7907950282096863,0.66157466173172,0.868583619594574,0.8869370222091675,0.6773159503936768,0.7587414383888245,0.6385810375213623,0.6539793014526367,0.4942933022975921,0.7676957845687866
unet,full,multiclass,45,3pm,0.939246952533722,0.8073894381523132,0.861430823802948,0.7840018272399902,0.7921867370605469,0.6475086808204651,0.8691179752349854,0.8854529857635498,0.6769933700561523,0.756590723991394,0.6447393298149109,0.6558851003646851,0.4787525236606598,0.768531084060669
unet,full,multiclass,45,4pm,0.9373956322669984,0.8083653450012207,0.8505106568336487,0.7605834007263184,0.7926701307296753,0.6789711713790894,0.8848100304603577,0.8821679949760437,0.6783667802810669,0.7399030923843384,0.6136624217033386,0.6565481424331665,0.5139715075492859,0.7934163808822632
unet,full,multiclass,45,5pm,0.9386114478111268,0.8033826351165771,0.8642017841339111,0.783318817615509,0.7898582816123962,0.6383758783340454,0.8612385392189026,0.8843240141868591,0.6713780760765076,0.7608761787414551,0.6438159942626953,0.6526989936828613,0.4688341319561004,0.7562940716743469
unet,full,multiclass,45,6pm,0.935884416103363,0.806108295917511,0.8625181913375854,0.7788143157958984,0.7982673048973083,0.6750363111495972,0.8797641396522522,0.8794950246810913,0.6751937866210938,0.7582699060440063,0.6377525329589844,0.6642636060714722,0.5094753503799438,0.7853383421897888
unet,full,multiclass,45,7pm,0.9398283362388612,0.8137775659561157,0.8599667549133301,0.7739497423171997,0.8017353415489197,0.6836438775062561,0.8849206566810608,0.8864869475364685,0.6860244274139404,0.7543348670005798,0.6312544941902161,0.669080376625061,0.5193456411361694,0.7935943007469177
unet,full,multiclass,45,8pm,0.9163729548454284,0.768036425113678,0.7016353011131287,0.6145504713058472,0.7316762208938599,0.66985023021698,0.8836537599563599,0.8456534743309021,0.6234246492385864,0.5403992533683777,0.4435747861862182,0.576884388923645,0.5035901069641113,0.7915588617324829
unet,full,multiclass,46,8am,0.9437494874000548,0.8247148394584656,0.882763147354126,0.7917176485061646,0.7892147302627563,0.6677603125572205,0.8869413137435913,0.8934901356697083,0.7017146944999695,0.7901306748390198,0.6552422642707825,0.6518205404281616,0.5012313723564148,0.7968505024909973
unet,full,multiclass,46,9am,0.9477195739746094,0.8406998515129089,0.865715742111206,0.7619556784629822,0.7692945003509521,0.661383330821991,0.9004681706428528,0.9006340503692627,0.7251787185668945,0.7632264494895935,0.6154510378837585,0.6250841617584229,0.4940797090530395,0.8189560174942017
unet,full,multiclass,46,10am,0.9440561532974244,0.8161686658859253,0.8412736654281616,0.728800892829895,0.7405059337615967,0.6318292617797852,0.8648337125778198,0.8940401077270508,0.6894298791885376,0.7260331511497498,0.5733176469802856,0.5879391431808472,0.4618058502674103,0.7618564367294312
unet,full,multiclass,46,11am,0.9419320225715636,0.8100484609603882,0.845816969871521,0.7294321656227112,0.7513038516044617,0.678812563419342,0.869030237197876,0.8902376890182495,0.6807407140731812,0.7328274250030518,0.5740993022918701,0.6016706824302673,0.5137897729873657,0.7683938145637512
unet,full,multiclass,46,12pm,0.94155752658844,0.8120020031929016,0.8623027205467224,0.7585896849632263,0.7740676999092102,0.6743265986442566,0.8732755780220032,0.8895689249038696,0.6835045218467712,0.7579368352890015,0.6110708713531494,0.6314114332199097,0.5086672306060791,0.7750569581985474
unet,full,multiclass,46,1pm,0.940487027168274,0.8130568861961365,0.8611496090888977,0.7632142305374146,0.777582049369812,0.6986760497093201,0.8827359080314636,0.8876597285270691,0.6850007176399231,0.7561569213867188,0.6170949935913086,0.6361016035079956,0.5368963479995728,0.790087103843689
unet,full,multiclass,46,2pm,0.9408374428749084,0.812233030796051,0.8537552356719971,0.7700909972190857,0.796235978603363,0.7002472877502441,0.8818643689155579,0.8882842659950256,0.6838319301605225,0.7448279857635498,0.6261365413665771,0.6614552140235901,0.5387542247772217,0.7886917591094971
