CNN Model,Input Type,Target Type,Trial,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score,Class 0 Jaccard Index,Class 1 Jaccard Index,Class 2 Jaccard Index,Class 3 Jaccard Index,Class 4 Jaccard Index,Class 5 Jaccard Index,Class 6 Jaccard Index
unet,rois,multiclass,1,12,8am,0.934070646762848,0.8095510601997375,0.5455722808837891,0.2165019512176513,0.2878002226352691,0.4495139718055725,0.7660948038101196,0.8762969374656677,0.6800385117530823,0.375111311674118,0.1213917508721351,0.1680879890918731,0.2899181246757507,0.620870053768158
unet,rois,multiclass,1,12,9am,0.9290728569030762,0.8007439374923706,0.6566261649131775,0.2345295995473861,0.2041252702474594,0.2548663318157196,0.6598621010780334,0.8675405979156494,0.6677005887031555,0.4887888729572296,0.132842555642128,0.1136634275317192,0.1460440158843994,0.4923837184906006
unet,rois,multiclass,1,12,10am,0.9432921409606934,0.8338818550109863,0.6740442514419556,0.2331428378820419,0.2340768277645111,0.3203867375850677,0.6932790875434875,0.8926706910133362,0.715092122554779,0.5083459615707397,0.1319534182548523,0.1325521022081375,0.1907503008842468,0.5305487513542175
unet,rois,multiclass,1,12,11am,0.9378142952919006,0.8206178545951843,0.6847954392433167,0.2271714508533477,0.2175880968570709,0.3203327357769012,0.6944031119346619,0.8829099535942078,0.695803165435791,0.5206760168075562,0.1281406730413437,0.1220750957727432,0.190712034702301,0.5318663716316223
unet,rois,multiclass,1,12,12pm,0.9340731501579284,0.812098503112793,0.7180826663970947,0.25492724776268,0.2442081421613693,0.3516204953193664,0.7089201807975769,0.8763014078140259,0.6836413145065308,0.5601630210876465,0.1460840255022049,0.1390871852636337,0.2133128345012664,0.5490909218788147
unet,rois,multiclass,1,12,1pm,0.9287084937095642,0.8005360960960388,0.7323369979858398,0.258615642786026,0.2631878852844238,0.3740205466747284,0.7187674641609192,0.8669055104255676,0.6674116253852844,0.5777063965797424,0.148511528968811,0.1515350341796875,0.2300278544425964,0.5609968900680542
unet,rois,multiclass,1,12,2pm,0.9217501282691956,0.7853887677192688,0.72843337059021,0.2462992817163467,0.2466274052858352,0.3733570873737335,0.7179811000823975,0.8548576235771179,0.6466173529624939,0.572862982749939,0.1404454559087753,0.1406588703393936,0.2295261472463607,0.5600394010543823
unet,rois,multiclass,1,12,3pm,0.9536186456680298,0.8564544320106506,0.6358439922332764,0.277008980512619,0.3395001590251922,0.4609699845314026,0.7620247006416321,0.9113490581512452,0.748946487903595,0.466107964515686,0.1607721596956253,0.2044566124677658,0.299519807100296,0.6155411601066589
unet,rois,multiclass,1,12,4pm,0.859415590763092,0.6831974387168884,0.6309029459953308,0.250421941280365,0.3118936121463775,0.4181672036647796,0.7377261519432068,0.7534870505332947,0.5188305974006653,0.4608168303966522,0.1431327611207962,0.1847594529390335,0.2643561363220215,0.5844422578811646
unet,rois,multiclass,1,12,5pm,0.9520131945610046,0.8484569191932678,0.6457103490829468,0.3087464570999145,0.3685210943222046,0.4848586916923523,0.7737460136413574,0.9084210395812988,0.736799955368042,0.4767889678478241,0.1825548112392425,0.2258816212415695,0.3200089037418365,0.6309835314750671
unet,rois,multiclass,1,12,6pm,0.957384705543518,0.8654586672782898,0.5808208584785461,0.3104483783245086,0.4357832074165344,0.5564723610877991,0.8105854392051697,0.9182531237602234,0.7628269791603088,0.4092653691768646,0.1837460249662399,0.2785951495170593,0.3854947686195373,0.6814994812011719
unet,rois,multiclass,1,12,7pm,0.945443868637085,0.848744809627533,0.5584951043128967,0.4076038897037506,0.5861169099807739,0.6546950340270996,0.8120660185813904,0.8965325355529785,0.7372342944145203,0.387438952922821,0.2559688985347748,0.4145441055297851,0.486651748418808,0.6835952401161194
unet,rois,multiclass,1,12,8pm,0.9478435516357422,0.8412849307060242,0.5718255639076233,0.2547906041145324,0.3396978974342346,0.4788545072078705,0.7779832482337952,0.9008579850196838,0.7260498404502869,0.400389164686203,0.1459942907094955,0.2046000361442566,0.3147986233234405,0.6366388201713562
unet,rois,multiclass,1,13,8am,0.9656453132629396,0.8854337334632874,0.8141669631004333,0.4353462159633636,0.2885092794895172,0.4369233548641205,0.8043224215507507,0.9335726499557496,0.794420063495636,0.6865780353546143,0.2782380580902099,0.1685719192028045,0.2795277833938598,0.6726917624473572
unet,rois,multiclass,1,13,9am,0.9617834091186525,0.875749409198761,0.8478826880455017,0.4616672694683075,0.310723215341568,0.4238346219062805,0.7973617911338806,0.9263803362846376,0.7789628505706787,0.735934317111969,0.3001088500022888,0.1839386075735092,0.2689023911952972,0.6630104780197144
unet,rois,multiclass,1,13,10am,0.9647085070610046,0.8849304914474487,0.8459246754646301,0.4435729384422302,0.3219612240791321,0.4584323167800903,0.8139880299568176,0.9318230152130128,0.793610155582428,0.7329891324043274,0.28499436378479,0.1918675750494003,0.2973805963993072,0.6863236427307129
unet,rois,multiclass,1,13,11am,0.9605534076690674,0.8740630149841309,0.8468369245529175,0.4907227456569671,0.3692774772644043,0.4685539603233337,0.8122610449790955,0.9241008162498474,0.7762983441352844,0.7343600988388062,0.325137585401535,0.2264502197504043,0.3059552609920501,0.6838716864585876
unet,rois,multiclass,1,13,12pm,0.9552268385887146,0.8602393269538879,0.865419328212738,0.4980671107769012,0.3466864824295044,0.4186524152755737,0.78951495885849,0.9142910838127136,0.754754364490509,0.7627657651901245,0.3316174149513244,0.2096919268369674,0.2647441029548645,0.6522302031517029
unet,rois,multiclass,1,13,1pm,0.961409866809845,0.8760074973106384,0.8481282591819763,0.4530220925807953,0.2846221327781677,0.3910589814186096,0.7848178744316101,0.9256874918937684,0.7793712615966797,0.7363044023513794,0.2928432822227478,0.1659238636493683,0.2430536448955536,0.6458438634872437
unet,rois,multiclass,1,13,2pm,0.9626692533493042,0.8796316385269165,0.8456360101699829,0.4452055394649505,0.281719446182251,0.3936481177806854,0.7859905362129211,0.9280253648757936,0.7851271629333496,0.7325558066368103,0.2863436639308929,0.1639542877674102,0.2450572252273559,0.6474335789680481
unet,rois,multiclass,1,13,3pm,0.964644491672516,0.885463297367096,0.8365693688392639,0.4492101669311523,0.27527716755867,0.3620635569095611,0.7715989351272583,0.9317036867141724,0.7944676280021667,0.7190539240837097,0.2896654009819031,0.1596066057682037,0.2210486084222793,0.6281327605247498
unet,rois,multiclass,1,13,4pm,0.9496973752975464,0.8472711443901062,0.8106525540351868,0.4218817949295044,0.2766734063625335,0.3730705082416534,0.775854766368866,0.9042131304740906,0.7350133657455444,0.6815943717956543,0.2673321664333343,0.160546138882637,0.2293095588684082,0.6337931156158447
unet,rois,multiclass,1,13,5pm,0.966691255569458,0.889062225818634,0.8026741743087769,0.4141085147857666,0.260736346244812,0.3545038998126983,0.7672240138053894,0.9355299472808838,0.8002808094024658,0.6703890562057495,0.2611203491687774,0.1499119102954864,0.2154389023780822,0.6223547458648682
unet,rois,multiclass,1,13,6pm,0.9677827954292296,0.8927364945411682,0.81062251329422,0.3993944823741913,0.2621132433414459,0.3512372970581054,0.7663309574127197,0.9375766515731812,0.8062548041343689,0.6815519332885742,0.2495271116495132,0.1508229672908783,0.2130308449268341,0.6211803555488586
unet,rois,multiclass,1,13,7pm,0.9674099087715148,0.8911771178245544,0.8308892250061035,0.4395299851894378,0.2683134377002716,0.3514493703842163,0.7654148936271667,0.9368769526481628,0.8037145733833313,0.7107018828392029,0.2816651165485382,0.1549434065818786,0.2131868749856948,0.6199774742126465
unet,rois,multiclass,1,13,8pm,0.9657624363899232,0.8862836360931396,0.8147258758544922,0.4100678861141205,0.2702687084674835,0.3711612820625305,0.7750369906425476,0.9337916970252992,0.7957893013954163,0.6873733401298523,0.2579153478145599,0.1562489420175552,0.2278686463832855,0.6327024102210999
unet,rois,multiclass,1,14,9am,0.9581415057182312,0.8677114844322205,0.8549410700798035,0.5004407167434692,0.3167124688625335,0.3987587392330169,0.7927020788192749,0.9196464419364928,0.7663342356681824,0.7466349601745605,0.3337251842021942,0.1881511360406875,0.2490310221910476,0.6565919518470764
