CNN Model,Input Type,Target Type,Trial,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score,Class 0 Jaccard Index,Class 1 Jaccard Index,Class 2 Jaccard Index,Class 3 Jaccard Index,Class 4 Jaccard Index,Class 5 Jaccard Index,Class 6 Jaccard Index
cgnet,rois,multiclass,1,8,7pm,0.7813283801078796,0.5560200214385986,0.6049058437347412,0.8040988445281982,0.8439955115318298,1.0,1.0,0.6411312222480774,0.3850607573986053,0.4335949718952179,0.6723790168762207,0.7300971150398254,1.0,1.0
cgnet,rois,multiclass,1,8,8pm,0.7590931057929993,0.5388903021812439,0.6619848608970642,0.7602944374084473,0.7980871200561523,0.0,1.0,0.6117244958877563,0.3688226044178009,0.4947514235973358,0.6132862567901611,0.6640141606330872,0.0,1.0
cgnet,rois,multiclass,1,9,8am,0.7502304315567017,0.5295464992523193,0.6575278043746948,0.6946861743927002,0.7762162089347839,0.0,1.0,0.6002950072288513,0.3601246178150177,0.4897887706756592,0.5321986079216003,0.6342756152153015,0.0,1.0
cgnet,rois,multiclass,1,9,9am,0.7504667639732361,0.5319600701332092,0.6863976120948792,0.7686116695404053,0.7929515242576599,0.0,1.0,0.6005977392196655,0.3623607754707336,0.522530734539032,0.6241829991340637,0.6569343209266663,0.0,1.0
cgnet,rois,multiclass,1,9,10am,0.7661539912223816,0.5435702800750732,0.6823248267173767,0.7659332156181335,0.8191125988960266,0.0,1.0,0.6209477782249451,0.3732210695743561,0.5178247690200806,0.6206578612327576,0.6936416029930115,0.0,1.0
cgnet,rois,multiclass,1,9,11am,0.7551756501197815,0.5377478003501892,0.6625970005989075,0.7674226760864258,0.7659574747085571,0.0,1.0,0.6066523790359497,0.367753118276596,0.4954355657100677,0.6226162314414978,0.6206896305084229,0.0,1.0
cgnet,rois,multiclass,1,9,12pm,0.760432779788971,0.5404871106147766,0.6635280847549438,0.8022736310958862,0.8098987340927124,0.0,1.0,0.6134663224220276,0.3703201711177826,0.4964773952960968,0.6698305010795593,0.6805292963981628,0.0,1.0
cgnet,rois,multiclass,1,9,1pm,0.7626258730888367,0.5436208844184875,0.6554277539253235,0.7760265469551086,0.763005793094635,0.0,1.0,0.6163260340690613,0.3732688128948211,0.4874618947505951,0.6340223550796509,0.6168224215507507,0.0,1.0
cgnet,rois,multiclass,1,9,2pm,0.7641718983650208,0.5448503494262695,0.630888044834137,0.7995897531509399,0.7923705577850342,0.0,1.0,0.6183480620384216,0.3744290769100189,0.4608009457588196,0.6660970449447632,0.6561371684074402,0.0,1.0
cgnet,rois,multiclass,1,9,3pm,0.7648966312408447,0.5441708564758301,0.625203013420105,0.7937579154968262,0.7717277407646179,0.0,1.0,0.6192976832389832,0.3737875521183014,0.4547602236270904,0.6580419540405273,0.6283034682273865,0.0,1.0
cgnet,rois,multiclass,1,9,4pm,0.7797927260398865,0.5583924651145935,0.680849015712738,0.7635477781295776,0.7686606645584106,0.0,1.0,0.6390658020973206,0.3873401582241058,0.5161266922950745,0.6175311803817749,0.6242476105690002,0.0,1.0
cgnet,rois,multiclass,1,9,5pm,0.7538241147994995,0.5324594974517822,0.625335693359375,0.7573135495185852,0.7203601598739624,0.0,1.0,0.6049098968505859,0.3628243803977966,0.4549006819725036,0.6094164252281189,0.5629398226737976,0.0,1.0
cgnet,rois,multiclass,1,9,6pm,0.7515060901641846,0.5333361029624939,0.6182698607444763,0.7876753211021423,0.8085345029830933,0.0,1.0,0.6019300818443298,0.3636389672756195,0.4474606513977051,0.6497230529785156,0.6786050796508789,0.0,1.0
cgnet,rois,multiclass,1,9,7pm,0.7446926236152649,0.5278535485267639,0.507895290851593,0.6987041234970093,0.7856755256652832,0.0,1.0,0.5932352542877197,0.3585605025291443,0.3403885066509247,0.5369294881820679,0.6470062732696533,0.0,1.0
cgnet,rois,multiclass,1,9,8pm,0.7354424595832825,0.521323561668396,0.6374298334121704,0.7859877347946167,0.8422897458076477,0.0,1.0,0.5815808773040771,0.3525609374046325,0.4678143262863159,0.6474298238754272,0.7275479435920715,0.0,1.0
